timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733240878483,9,[Get] HTTP Request,200,,[Full Test] Thread Group 4-14,text,true,,1688,121,1,1,http://localhost:8080/users,9,0,2
1733240878492,5,[Post] HTTP Request,200,,[Full Test] Thread Group 4-14,text,true,,228,233,1,1,http://localhost:8080/users,5,0,0
1733240878498,6,[Put] HTTP Request,200,,[Full Test] Thread Group 4-14,text,true,,237,244,1,1,http://localhost:8080/users/1,6,0,0
1733240878685,9,[Get] HTTP Request,200,,[Full Test] Thread Group 4-15,text,true,,1800,121,1,1,http://localhost:8080/users,8,0,1
1733240878694,6,[Post] HTTP Request,200,,[Full Test] Thread Group 4-15,text,true,,228,233,1,1,http://localhost:8080/users,6,0,0
1733240878701,8,[Put] HTTP Request,200,,[Full Test] Thread Group 4-15,text,true,,237,244,1,1,http://localhost:8080/users/1,8,0,0
1733240878885,7,[Get] HTTP Request,200,,[Full Test] Thread Group 4-16,text,true,,1912,121,1,1,http://localhost:8080/users,7,0,1
1733240878892,5,[Post] HTTP Request,200,,[Full Test] Thread Group 4-16,text,true,,228,233,1,1,http://localhost:8080/users,5,0,0
1733240878897,7,[Put] HTTP Request,200,,[Full Test] Thread Group 4-16,text,true,,237,244,1,1,http://localhost:8080/users/1,6,0,0
1733240879070,7,[Get] HTTP Request,200,,[Full Test] Thread Group 4-17,text,true,,2024,121,1,1,http://localhost:8080/users,7,0,1
1733240879078,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-17,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240879083,5,[Put] HTTP Request,200,,[Full Test] Thread Group 4-17,text,true,,237,244,1,1,http://localhost:8080/users/1,5,0,0
1733240879269,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-18,text,true,,2136,121,1,1,http://localhost:8080/users,6,0,1
1733240879276,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-18,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
1733240879280,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-18,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240879469,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-19,text,true,,2248,121,1,1,http://localhost:8080/users,6,0,1
1733240879476,3,[Post] HTTP Request,200,,[Full Test] Thread Group 4-19,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
1733240879480,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-19,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240879669,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-20,text,true,,2360,121,1,1,http://localhost:8080/users,5,0,1
1733240879674,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-20,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240879678,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-20,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240879869,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-21,text,true,,2472,121,1,1,http://localhost:8080/users,5,0,1
1733240879875,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-21,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240879879,5,[Put] HTTP Request,200,,[Full Test] Thread Group 4-21,text,true,,237,244,1,1,http://localhost:8080/users/1,5,0,0
1733240880086,8,[Get] HTTP Request,200,,[Full Test] Thread Group 4-22,text,true,,2584,121,1,1,http://localhost:8080/users,7,0,1
1733240880094,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-22,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240880098,6,[Put] HTTP Request,200,,[Full Test] Thread Group 4-22,text,true,,237,244,1,1,http://localhost:8080/users/1,6,0,0
1733240880254,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-23,text,true,,2640,121,1,2,http://localhost:8080/users,6,0,0
1733240880261,6,[Post] HTTP Request,200,,[Full Test] Thread Group 4-23,text,true,,228,233,1,1,http://localhost:8080/users,5,0,0
1733240880267,7,[Put] HTTP Request,200,,[Full Test] Thread Group 4-23,text,true,,237,244,1,1,http://localhost:8080/users/1,7,0,0
1733240880470,8,[Get] HTTP Request,200,,[Full Test] Thread Group 4-24,text,true,,2808,121,1,1,http://localhost:8080/users,7,0,2
1733240880478,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-24,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240880482,6,[Put] HTTP Request,200,,[Full Test] Thread Group 4-24,text,true,,237,244,1,1,http://localhost:8080/users/1,5,0,0
1733240880669,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-25,text,true,,2864,121,1,1,http://localhost:8080/users,5,0,1
1733240880674,5,[Post] HTTP Request,200,,[Full Test] Thread Group 4-25,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240880679,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-25,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240880870,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-26,text,true,,3032,121,1,1,http://localhost:8080/users,5,0,1
1733240880875,3,[Post] HTTP Request,200,,[Full Test] Thread Group 4-26,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
1733240880879,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-26,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240881085,7,[Get] HTTP Request,200,,[Full Test] Thread Group 4-27,text,true,,3144,121,1,1,http://localhost:8080/users,6,0,1
1733240881092,5,[Post] HTTP Request,200,,[Full Test] Thread Group 4-27,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240881097,5,[Put] HTTP Request,200,,[Full Test] Thread Group 4-27,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240881286,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-28,text,true,,3256,121,1,1,http://localhost:8080/users,6,0,1
1733240881292,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-28,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
1733240881296,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-28,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240881486,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-29,text,true,,3368,121,1,1,http://localhost:8080/users,6,0,1
1733240881492,3,[Post] HTTP Request,200,,[Full Test] Thread Group 4-29,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
